module,num-direct-deps,num-transitive-deps,num-direct-dependents,num-transitive-dependents,max-dependency-depth,avg-dependency-path-length,num-circular-dependencies,leaf?,root?,num-namespaces,num-externally-used-namespaces,num-declared-api-namespaces,num-derived-api-namespaces,num-unexpected-api-namespaces,num-undeclared-api-namespaces,num-declared-friends,num-direct-uses,num-source-files,num-downstream-modules-affected,num-downstream-source-files-affected,num-affected-source-files,num-test-files-affected,percent-of-repo-source-files-affected,percent-of-repo-test-files-affected
version,5,116,2,192,15,9.2414,0,false,false,4,2,2,2,0,0,0,5,4,192,1615,1615,1190,0.9926,0.9942
view-log,10,116,3,192,15,6.5172,0,false,false,5,2,2,2,0,0,0,11,5,192,1615,1615,1190,0.9926,0.9942
warehouse-schema,19,116,19,192,14,7.319,0,false,false,9,7,7,7,7,0,0,19,9,192,1615,1615,1190,0.9926,0.9942
warehouse-schema.metadata-queries,3,116,3,192,20,13.6034,0,false,false,1,1,1,1,1,0,0,3,1,192,1615,1615,1190,0.9926,0.9942
warehouses,4,116,5,192,16,9.8276,0,false,false,4,2,2,2,0,0,0,4,4,192,1615,1615,1190,0.9926,0.9942
warehouses.models-database,16,116,8,192,11,5.4914,1,false,false,1,1,1,1,1,0,0,17,1,192,1615,1615,1190,0.9926,0.9942
warehouses.settings,3,116,2,192,14,8.5345,0,false,false,1,1,1,1,1,0,0,3,1,192,1615,1615,1190,0.9926,0.9942
enterprise/advanced-permissions,14,116,6,192,16,8.6293,1,false,false,8,3,3,3,3,0,0,14,8,192,1615,1615,1190,0.9926,0.9942
enterprise/api,3,116,4,192,14,8.3793,0,false,false,2,1,1,1,0,0,0,3,2,192,1615,1615,1190,0.9926,0.9942
enterprise/impersonation,11,116,1,192,14,7.5776,0,false,false,6,1,1,1,0,0,0,11,6,192,1615,1615,1190,0.9926,0.9942
enterprise/sandbox,20,116,3,192,13,6.1897,0,false,false,11,2,2,2,2,0,0,20,11,192,1615,1615,1190,0.9926,0.9942
enterprise/scim,12,116,4,192,10,4.8707,0,false,false,7,3,3,3,1,0,0,12,7,192,1615,1615,1190,0.9926,0.9942
enterprise/serialization,16,116,4,192,13,5.569,0,false,false,11,4,4,4,2,0,0,16,11,192,1615,1615,1190,0.9926,0.9942
enterprise/sso,12,116,4,192,8,4.431,0,false,false,18,3,3,3,2,0,0,12,18,192,1615,1615,1190,0.9926,0.9942
enterprise/transforms.python,16,116,5,9,12,6.4914,0,false,false,10,4,4,4,4,0,0,16,10,9,93,103,78,0.0633,0.0652
enterprise/dependencies,28,116,4,8,14,6.181,0,false,false,20,4,4,4,1,0,0,28,20,8,61,81,53,0.0498,0.0443
